# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=000 t= 0.000s reward=-2.150006 done=0 jointpos=[+0.236087, -0.237385, +0.119796, -0.244000, +1.672018, +1.113018, +1.131413, +0.834470, +0.836905, +1.035257, +0.265063, +0.382624, +0.001265, +0.313265, +0.367440, +0.096841, +0.152702, +0.182578, +0.178421, +0.273231, +0.172552]
frame=001 t= 0.050s reward=-1.444716 done=0 jointpos=[+0.220862, -0.208103, +0.010461, -0.238075, +1.700745, +1.203552, +1.126800, +0.910334, +0.774696, +1.073050, +0.396593, +0.331181, +0.094065, +0.346821, +0.384295, +0.057542, +0.162179, +0.204636, +0.220139, +0.310586, +0.161690]
frame=002 t= 0.100s reward=+0.671664 done=0 jointpos=[+0.255788, -0.217271, -0.013639, -0.232436, +1.723334, +1.266019, +1.156606, +0.895955, +0.780237, +1.071909, +0.443729, +0.281816, +0.159063, +0.393186, +0.354767, +0.015345, +0.170655, +0.175087, +0.171667, +0.341008, +0.139607]
frame=003 t= 0.150s reward=-0.230311 done=0 jointpos=[+0.261800, -0.203196, -0.020780, -0.233507, +1.724238, +1.247225, +1.148065, +0.876286, +0.775885, +1.043776, +0.443729, +0.290023, +0.176428, +0.404109, +0.366886, +0.007187, +0.188969, +0.186349, +0.139345, +0.350188, +0.124133]
frame=004 t= 0.200s reward=+0.110018 done=0 jointpos=[+0.261800, -0.182328, -0.035038, -0.242360, +1.725099, +1.195372, +1.126125, +0.860565, +0.782444, +0.998530, +0.478347, +0.341738, +0.174965, +0.381283, +0.402657, +0.033081, +0.179383, +0.170207, +0.132325, +0.354463, +0.082513]
frame=005 t= 0.250s reward=-1.129815 done=0 jointpos=[+0.261800, -0.174451, -0.037037, -0.245756, +1.724571, +1.167529, +1.121408, +0.861600, +0.800737, +0.956300, +0.520213, +0.372222, +0.180080, +0.355401, +0.433780, +0.043139, +0.144725, +0.133574, +0.123950, +0.339351, +0.040814]
frame=006 t= 0.300s reward=-1.657268 done=0 jointpos=[+0.261800, -0.169232, -0.029456, -0.241170, +1.725022, +1.160627, +1.126634, +0.859109, +0.813621, +0.916764, +0.533146, +0.355592, +0.191150, +0.335992, +0.462754, +0.036870, +0.142247, +0.112731, +0.088057, +0.322103, +0.021691]
frame=007 t= 0.350s reward=+0.422793 done=0 jointpos=[+0.261800, -0.155551, -0.021559, -0.240817, +1.725441, +1.143345, +1.139133, +0.839791, +0.820764, +0.893843, +0.533406, +0.318383, +0.222351, +0.316312, +0.490628, +0.023591, +0.138457, +0.088356, +0.067955, +0.315924, +0.008516]
frame=008 t= 0.400s reward=-1.712090 done=0 jointpos=[+0.261800, -0.137046, +0.000531, -0.244693, +1.725400, +1.118512, +1.158692, +0.813527, +0.829327, +0.893838, +0.522271, +0.289939, +0.268586, +0.302052, +0.507459, +0.028655, +0.120259, +0.090604, +0.040449, +0.309725, +0.000000]
frame=009 t= 0.450s reward=+0.709775 done=0 jointpos=[+0.261800, -0.137518, +0.033679, -0.248170, +1.725398, +1.125098, +1.171233, +0.802082, +0.839175, +0.893826, +0.501091, +0.293969, +0.316646, +0.299327, +0.504979, +0.058593, +0.092030, +0.090848, +0.018047, +0.305537, +0.000000]
frame=010 t= 0.500s reward=-0.583361 done=0 jointpos=[+0.261800, -0.142302, +0.078059, -0.248790, +1.725350, +1.142516, +1.176814, +0.804558, +0.848959, +0.893772, +0.457161, +0.331104, +0.354748, +0.299667, +0.485262, +0.072909, +0.053237, +0.081169, +0.000372, +0.317050, +0.011389]
frame=011 t= 0.550s reward=-0.808054 done=0 jointpos=[+0.261800, -0.138108, +0.129421, -0.224135, +1.725315, +1.164192, +1.183649, +0.811345, +0.850954, +0.893789, +0.403776, +0.399473, +0.372076, +0.284606, +0.471225, +0.062407, +0.035789, +0.080437, -0.000000, +0.325060, +0.044275]
frame=012 t= 0.600s reward=+0.823632 done=0 jointpos=[+0.261800, -0.129921, +0.179394, -0.180102, +1.725283, +1.191954, +1.204788, +0.828391, +0.843692, +0.893730, +0.360007, +0.485838, +0.357852, +0.268408, +0.461576, +0.050533, +0.031598, +0.058789, +0.000000, +0.344102, +0.071743]
frame=013 t= 0.650s reward=+0.764456 done=0 jointpos=[+0.261800, -0.147988, +0.213213, -0.141616, +1.724587, +1.235974, +1.205511, +0.862964, +0.831604, +0.893394, +0.318328, +0.547119, +0.329523, +0.282352, +0.450837, +0.041790, +0.060984, +0.039082, -0.000000, +0.339487, +0.082809]
frame=014 t= 0.700s reward=+0.875405 done=0 jointpos=[+0.261800, -0.184448, +0.213274, -0.119930, +1.724560, +1.254868, +1.172588, +0.885956, +0.826276, +0.893409, +0.278522, +0.581279, +0.303630, +0.291071, +0.435682, +0.035636, +0.086636, +0.013822, -0.000000, +0.341182, +0.108310]
frame=015 t= 0.750s reward=+0.651684 done=0 jointpos=[+0.261800, -0.219090, +0.205491, -0.115418, +1.724522, +1.276271, +1.113047, +0.899586, +0.842155, +0.893388, +0.244426, +0.596358, +0.303512, +0.281459, +0.414390, +0.026927, +0.078440, -0.000000, -0.000000, +0.333977, +0.144000]
frame=016 t= 0.800s reward=+0.109894 done=0 jointpos=[+0.255049, -0.233156, +0.193311, -0.134092, +1.725259, +1.285594, +1.047505, +0.915112, +0.871969, +0.893772, +0.211824, +0.612228, +0.299769, +0.261443, +0.390266, +0.004214, +0.050153, +0.000000, -0.000000, +0.327083, +0.178798]
frame=017 t= 0.850s reward=+0.787262 done=0 jointpos=[+0.253434, -0.224774, +0.174704, -0.164386, +1.728544, +1.300010, +0.997033, +0.931557, +0.909650, +0.895401, +0.229217, +0.641919, +0.304452, +0.238927, +0.362899, +0.000247, +0.008070, +0.000000, -0.000000, +0.314802, +0.210032]
frame=018 t= 0.900s reward=-0.648443 done=0 jointpos=[+0.253988, -0.210200, +0.138667, -0.205361, +1.732240, +1.331805, +0.970386, +0.934603, +0.939311, +0.897961, +0.282721, +0.680725, +0.314439, +0.212612, +0.337668, +0.000247, +0.000000, +0.000000, -0.000000, +0.324478, +0.220836]
frame=019 t= 0.950s reward=+1.015854 done=0 jointpos=[+0.261800, -0.219778, +0.106876, -0.238279, +1.733548, +1.319903, +0.984841, +0.923138, +0.951254, +0.931019, +0.303722, +0.696780, +0.312604, +0.206066, +0.331639, +0.000247, +0.000000, +0.039624, +0.005909, +0.321780, +0.208633]
