# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=000 t= 0.000s reward=-2.150006 done=0 raw_action=[-1.000000, +0.067147, -1.000000, +0.049969, +0.707250, +1.000000, +0.890403, +1.000000, +1.000000, -0.490409, +0.799092, -0.691261, +1.000000, +1.000000, +1.000000, -1.000000, +0.706606, +1.000000, +1.000000, +1.000000, +0.871652]
frame=001 t= 0.050s reward=-1.444716 done=0 raw_action=[-1.000000, +1.000000, -1.000000, -0.008197, +0.682685, -0.423187, -0.448081, +1.000000, +1.000000, -0.735586, +0.344328, -0.007143, +1.000000, +1.000000, +1.000000, -0.969952, +0.329163, +0.494328, +1.000000, +1.000000, -0.150016]
frame=002 t= 0.100s reward=+0.671664 done=0 raw_action=[+0.330076, +1.000000, -0.453700, -0.242265, +1.000000, +0.033658, +0.851299, -1.000000, +1.000000, -0.363595, +0.251991, +0.339185, +0.482850, +1.000000, -0.452918, -1.000000, +0.179297, -0.714977, -1.000000, +1.000000, -0.543364]
frame=003 t= 0.150s reward=-0.230311 done=0 raw_action=[+0.098017, +1.000000, +0.199554, -0.964060, +1.000000, -0.639882, +0.654341, -0.384893, -0.037442, -0.718787, +0.155481, +1.000000, +0.994475, +0.310178, -0.300768, -0.204483, +0.460610, +0.315798, -0.804067, -0.321052, -0.403483]
frame=004 t= 0.200s reward=+0.110018 done=0 raw_action=[+0.317970, +0.128620, +0.469897, -1.000000, +0.928841, -0.539250, +0.528312, -0.242545, -0.164905, -0.603746, +1.000000, +0.861925, +0.597068, -0.954942, +0.835638, +0.617140, -0.211818, -0.403615, -0.226181, +0.054253, -1.000000]
frame=005 t= 0.250s reward=-1.129815 done=0 raw_action=[-0.123707, +0.480547, +0.538271, -0.924355, +1.000000, +0.001560, -0.380247, +0.751569, +1.000000, -1.000000, +0.816795, -0.409562, +1.000000, -0.261105, +0.747941, +0.244655, -0.822656, -0.882504, -0.196985, -0.432571, -1.000000]
frame=006 t= 0.300s reward=-1.657268 done=0 raw_action=[+0.025988, +0.362286, +0.491930, -1.000000, +1.000000, -0.970748, +0.082312, +0.475550, +0.342587, -1.000000, +0.097610, -0.143949, +1.000000, -0.504394, +0.891138, -0.155259, -0.088870, -0.486877, -0.813994, -0.287746, -0.453786]
frame=007 t= 0.350s reward=+0.422793 done=0 raw_action=[+0.396892, +0.606120, +0.483333, -0.619229, +1.000000, -0.339458, +0.250700, -0.429140, +0.479958, -1.000000, +0.151727, -0.847205, +1.000000, -0.399738, +0.670296, -0.314184, -0.111546, -0.581829, -0.505459, -0.071259, -0.315903]
frame=008 t= 0.400s reward=-1.712090 done=0 raw_action=[+0.534332, -0.131295, +0.805281, -0.120314, +1.000000, -0.466176, +0.620896, -0.403538, +0.397649, -0.941091, -0.257830, -0.392212, +1.000000, -0.300272, +0.158388, +0.124726, -0.422693, +0.073096, -0.647574, -0.282110, -0.356110]
frame=009 t= 0.450s reward=+0.709775 done=0 raw_action=[+0.260116, -1.000000, +1.000000, +0.315485, +0.757272, +0.007681, +0.378988, +0.062375, +0.457271, -0.760413, -0.475635, +0.512889, +1.000000, +0.005379, -0.101808, +0.712607, -0.653118, -0.004060, -0.551774, -0.102493, -0.268997]
frame=010 t= 0.500s reward=-0.583361 done=0 raw_action=[+0.650232, -1.000000, +1.000000, +0.672786, +0.550290, +1.000000, -0.512891, -0.026548, +1.000000, -0.536461, -1.000000, +0.547822, +0.857387, +0.058278, -0.258344, +0.342426, -0.934608, -0.241115, -0.415578, +0.563503, +0.338992]
frame=011 t= 0.550s reward=-0.808054 done=0 raw_action=[+0.379127, -1.000000, +1.000000, +1.000000, +0.738196, +0.871633, -0.842777, +0.727867, +0.501819, -0.207207, -1.000000, +1.000000, +0.661155, -0.308845, +0.193119, -0.258503, -0.456831, -0.005911, -0.781348, +0.507542, +0.814033]
frame=012 t= 0.600s reward=+0.823632 done=0 raw_action=[+0.036443, -1.000000, +0.998225, +1.000000, +0.539887, +0.480539, -1.000000, +1.000000, -0.064997, +0.115663, -1.000000, +1.000000, -0.201397, -0.296397, -0.286492, -0.278363, -0.130606, -0.536260, -0.864351, +0.516002, +0.656897]
frame=013 t= 0.650s reward=+0.764456 done=0 raw_action=[+0.023590, -1.000000, +0.310905, +0.961733, +0.609746, +0.188265, -1.000000, +0.862334, +0.478236, +0.149185, -1.000000, +0.869819, -0.497533, +0.357696, -0.492145, -0.201450, +0.702836, -0.486397, -0.407092, -0.335799, +0.255204]
